incident_key,codigo_postal,crime_type,centroid_id,centroid_lat,centroid_lon,n_events,resolver_unit_id,resolver_name,resolver_category,resolver_category_label,resolver_lat,resolver_lon,allowed_resolver_categories,route_source,routing_status,distance_meters,duration_seconds,duration_minutes,static_duration_seconds,delay_seconds,encoded_polyline,route_description,generated_at_utc,route_variant
06720_otros_incidentes_1,06720,Otros incidentes,1,19.4235394,-99.1482086,4733,osm_node_972127625,Bomberos / proteccion civil,fire_station,Bomberos / proteccion civil,19.4868577,-99.0640291,"police,fire_station,hospital",google_routes,ok,16074.0,2598.0,43.3,1700.0,898.0,i_}uBlms{QnK{^fC{InAeEp@sBt@uCbGoSL_@a@ORcAje@xOpStG|@Zn@DbElAl@FlYnJhFlBhF|Ar@NnBt@xAr@r@j@f@p@Vp@Tz@PdABd@x@fDzBbKz@xEn@nE`@rAt@xA~CbFbAjBt@nAlGnJzBvCxY`d@lBbDx@|ATt@|AnDxCpGtIjN`BrCrCrEVX`CrDpBlClMzRbCnD~DhGDLrApBbAfBvAdD|EhNbE~LbAtCbCxG|B`HlBtFlBpF`@lA^tAt@fBdArBvEdMfA~AZVtAj@dEr@fBVdB\dFb@rAD~BB|AJf@FtCx@d@J|@N|Jh@hBLlMn@zKf@hMr@?HHDTF?BxDNCzB?`GEFE?@`DA|XEpJ{Bbi@_@xJa@pJCPgApXEV@PqAjZa@vKSfDKlEuCxFwCzFIJQJM`ASRc@v@kAzBuL}A,Av Oceanía,2026-06-06T17:38:02+00:00,forced_fire_station_scenario
06050_otros_incidentes_1,06050,Otros incidentes,1,19.4341369,-99.1420229,1915,osm_node_4840767822,Estación de bomberos,fire_station,Bomberos / proteccion civil,19.5257983,-99.1100121,"police,fire_station,hospital",google_routes,ok,14163.0,2653.0,44.21666666666667,1707.0,946.0,etdvBnl|{QTmBj@cEPaBDaAGeBKcAkBmLC_@Dq@FUXg@PQvIyE`Ay@LQLa@F[ZiE^mELs@Ve@r@g@RIjCEtAIvEi@h@Qt@m@b@a@j@q@r@cA~HtFpDfChGfEzEdCfO~HhA|@nAdBl@rAzAtEl@nAZf@j@r@dA~@tAz@jAp@DFpHfEj@^z@|@`@l@r@|AhCfGhFzLlDnJbCzEtAlDx@vAp@x@rAlAxA|@xAj@jBh@`JxApFz@hGbAhFr@xD^zAVv@RhAPdDx@nBr@~Av@rAz@lUlQjFlEfBtAvF~Dr@j@jAx@pWfSjKpItJfHlEfDnAv@tAbA`@`@~D~C~DhDbB`AvG~EzNfLhCnCnItGx@p@|B`BlElCnBvAxC|BAJPf@CTKRMFY?UKkA_AM[E{@`CyCDKv@[f@Ex@FdEj@bD^hNpB~Ep@|@HfCb@pCZtItA~OtBzKzA|Ch@`CZrALfIjAlDd@rFz@rEfA|@N^Gt@DbCVvIdAbE|@|@Qh@i@JOTy@La@HI\}GJkCpAgOdAeLv@D,México 85 y Av. Insurgentes Nte.,2026-06-06T17:38:04+00:00,forced_fire_station_scenario
06050_otros_incidentes_2,06050,Otros incidentes,2,19.4344557,-99.1448049,1582,osm_node_4840767822,Estación de bomberos,fire_station,Bomberos / proteccion civil,19.5257983,-99.1100121,"police,fire_station,hospital",google_routes,ok,14544.0,3101.0,51.68333333333333,1856.0,1245.0,etdvBnl|{QTmBj@cEPaBDaAGeBKcAkBmLC_@Dq@FUXg@PQvIyE`Ay@LQLa@F[ZiE^mELs@Ve@r@g@RIjCEtAIvEi@h@Qt@m@b@a@j@q@r@cA~HtFpDfChGfEzEdCfO~HhA|@nAdBl@rAzAtEl@nAZf@j@r@dA~@tAz@jAp@DFpHfEj@^z@|@`@l@r@|AhCfGhFzLlDnJbCzEtAlDx@vAp@x@rAlAxA|@xAj@jBh@`JxApFz@hGbAhFr@xD^zAVv@RhAPdDx@nBr@~Av@rAz@lUlQjFlEfBtAvF~Dr@j@jAx@pWfSjKpItJfHlEfDnAv@tAbA`@`@~D~C~DhDbB`AvG~EzNfLhCnCnItGx@p@|B`BlElCnBvAxC|BAJPf@CTKRMFY?UKkA_AM[E{@`CyCDKv@[f@Ex@FdEj@bD^hNpB~Ep@|@HfCb@pCZtItA~OtBzKzA|Ch@`CZrALfIjAlDd@rFz@rEfA|@N^Gt@DbCVvIdAbE|@|@Qh@i@JOTy@La@HI\}GJkCpAgOh@_GvBLbD\m@jHQzBkEc@,México 85 y Av. Insurgentes Nte.,2026-06-06T17:38:05+00:00,forced_fire_station_scenario
06700_otros_incidentes_1,06700,Otros incidentes,1,19.4181087,-99.1669035,1488,osm_node_331698395,Bomberos Tecamachalco,fire_station,Bomberos / proteccion civil,19.4310478,-99.2266118,"police,fire_station,hospital",google_routes,ok,11647.0,1809.0,30.15,1401.0,408.0,qcruBhes|QeAn@U@mBa@k@QyAi@wDm@UA]DWNQ\mAtCSX_@VWJq@Hg@Cu@a@_@SSGeBK[?YF[RsDxDoA@a@CcKcPgSg\QIKO[_AWmAMwBG_EFk@l@}Ar@{@b@c@H_@nCaCbAu@RUhAq@hIoDvEoBjLcEpDgBtAcApBiBdAkAT_@hEsFNOV[b@oAf@aB`@q@h@e@r@YfA[h@YZWb@m@x@mBzBiDvH}KfAsA|AaBt@sA\q@Za@jNaKfGiEjCwBh@u@Vu@RkAXqBV_Af@mAj@y@t@w@t@g@jCqAp@WfAS|@GlFBlAOhA_@`QwH`AW|@KpACbBLZNzAPTHtARdGd@FEH?BLzCtGdAdCLZFBrDhIPdAd@pBLJX?XMBMyAsDY_@QIeB_Em@mAaAmCoD{Hy@_BgDaI}@}BmBmFaKsVaBiEiEoOWgBm@iGm@mCYgBGo@D{B`G}NyLuFa@QCOOIA?AWu@sFy@eGsDsXu@gFHi@T[DKzEs@^pC,Autop. Urbana Nte.,2026-06-06T17:38:06+00:00,forced_fire_station_scenario
06720_otros_incidentes_2,06720,Otros incidentes,2,19.415479,-99.1492271,1270,osm_node_331698395,Bomberos Tecamachalco,fire_station,Bomberos / proteccion civil,19.4310478,-99.2266118,"police,fire_station,hospital",google_routes,ok,14347.0,2580.0,43.0,1462.0,1118.0,qcruBhes|QeAn@U@mBa@k@QyAi@wDm@UA]DWNQ\mAtCSX_@VWJq@Hg@Cu@a@_@SSGeBK[?YF[RsDxDoA@a@CcKcPgSg\QIKO[_AWmAMwBG_EFk@l@}Ar@{@b@c@H_@nCaCbAu@RUhAq@hIoDvEoBjLcEpDgBtAcApBiBdAkAT_@hEsFNOV[b@oAf@aB`@q@h@e@r@YfA[h@YZWb@m@x@mBzBiDvH}KfAsA|AaBt@sA\q@Za@jNaKfGiEjCwBh@u@Vu@RkAXqBV_Af@mAj@y@t@w@t@g@jCqAp@WfAS|@GlFBlAOhA_@`QwH`AW|@KpACdEVx@FfAJbEX`NbAt@Az@M|@_@f@_@jEqFt@m@z@]|@O`ACr@FHDbALbDPlCRhCHHEzGNn@CHC|AIfAS^QRUT}@Lw@T}HM}IYeFQaBWqB@kAHoBHoCJ_Cf@aUVaKNiAZsA~DuINu@@w@Iq@_@mB?Sg@aCKY}AgHcBeHYaBmBsN{CkK_DmLyAkGyFwXs@yDMqAEsC?cAB[?}GPi@AOC}DJeOoAImWkCeLgAsOaBG@qBUQxGC`@yEm@oDc@DsA,Autop. Urbana Nte. y Viad. Pdte. Miguel Alemán Valdés,2026-06-06T17:38:07+00:00,forced_fire_station_scenario
06600_otros_incidentes_1,06600,Otros incidentes,1,19.425732,-99.1652945,1156,osm_node_331698395,Bomberos Tecamachalco,fire_station,Bomberos / proteccion civil,19.4310478,-99.2266118,"police,fire_station,hospital",google_routes,ok,9539.0,1841.0,30.683333333333334,1271.0,570.0,qcruBhes|QeAn@U@mBa@k@QyAi@wDm@UA]DWNQ\mAtCSX_@VWJq@Hg@Cu@a@_@SSGeBK[?YF[RsDxDoA@a@CcKcPgSg\k@_BKg@UiDIoDHi@l@yAKq@UYSIu@AiBd@SBm@Em@EaBcAi@}AyCsHkDqIMu@@aA@QCo@Ia@Yg@_@]{GcE_@c@Oa@My@Hm@`AwCJm@DQAKzBqGlCaH\m@n@o@xA{@f@e@f@w@rKk[tD_MxBeKnAkRTaAPe@`@m@h@k@NGvGwEtAgAx@{@r@gAr@aBh@gBVyAL{Al@aOJw@~A_Hl@qBVq@BSdAmAfA{Ax@yAJ[Lk@dAaDl@_B^I~E\\?z@]`@QhEmFn@o@pBgChBuBjCeDtHcJJe@t@yBNU\Qb@GtA@d@EnAc@r@_@jL_FROVa@FEHUNKX?HD|@SJC_@a@UQQW{FaP?MPo@Fq@Ee@K]KU]e@a@YiA[Sk@a@kAtHcD,Av. Río San Joaquín,2026-06-06T17:38:09+00:00,forced_fire_station_scenario
06700_otros_incidentes_2,06700,Otros incidentes,2,19.4183744,-99.1584836,1092,osm_node_331698395,Bomberos Tecamachalco,fire_station,Bomberos / proteccion civil,19.4310478,-99.2266118,"police,fire_station,hospital",google_routes,ok,10749.0,2095.0,34.916666666666664,1468.0,627.0,qcruBhes|QeAn@U@mBa@k@QyAi@wDm@UA]DWNQ\mAtCSX_@VWJq@Hg@Cu@a@_@SSGeBK[?YF[RsDxDoA@a@CcKcPgSg\k@_BKg@UiDIoDHi@l@yAKq@UYSIu@AiBd@SBm@Em@EaBcAi@}AyCsHkDqIMu@@aA@QCo@Ia@Yg@_@]{GcE_@c@Oa@My@Hm@`AwCJm@DQAKzBqGlCaH\m@n@o@xA{@f@e@f@w@rKk[tD_MxBeKnAkRTaAPe@`@m@h@k@NGvGwEtAgAx@{@r@gAr@aBh@gBVyAL{Al@aOJw@~A_Hl@qBVq@BSdAmAfA{Ax@yAJ[Lk@dAaDl@_B^I~E\\?z@]`@QhEmFn@o@pBgChBuBjCeDtHcJJe@t@yBNU\Qb@GtA@d@EnAc@r@_@jL_FROVa@FEHUNKX?HD|@SJCNCpAi@NAtHcD~@Oj@@VHf@EjR_DlIsAd@YTS_@gDCs@Fy@HYy@kG?QGKAe@}@uHuEma@HA,Av. Río San Joaquín,2026-06-06T17:38:10+00:00,forced_fire_station_scenario
09780_otros_incidentes_1,09780,Otros incidentes,1,19.3206734,-99.0692139,889,osm_node_4717536191,Estación de bomberos,fire_station,Bomberos / proteccion civil,19.4005086,-99.0305158,"police,fire_station,hospital",google_routes,ok,13346.0,2291.0,38.18333333333333,1962.0,329.0,ucluB~{l{QtA_E\sA\SBGx[vOpWfMxE`CGTfGtCxCnArI~DpFpC|EnCl@p@|@hBX\j@b@f@V^D\C^ODEXI~ByBPUxCeBfHyDd@ORENFfA@x@Jn@V|HrDpTlKZH`JLdHHhFGrDIxBCzBHbD?pJF`EF`\VfD?|XRbALRHzDpBNd@?RCJg@hA[hAo@pGoAtMe@pFlMN`n@j@Z@XjGDHLHDtA\hHHpCXtGBzCQ|CGt@Q|AsAzEaEtLe@nAqBfFeC~Ge@XWFWCWMQ]IUA[FWPSTKp@GbLbBr@Pl@\pLxIzDpCl@R~ADhHDlCCzJFtGFrBLr@NfAb@n@^dJ`HhHlF`@T`JxGnDjChBnAXBFGBKAKiB{AwEaDd@sAxDpCvS~OF?JOxBkHnBkG`Bh@,Av Guelatao/Eje 7 Ote,2026-06-06T17:38:11+00:00,forced_fire_station_scenario
06400_otros_incidentes_1,06400,Otros incidentes,1,19.4436309,-99.1583496,760,osm_node_6296084165,Sub-Estacion de Bombreos Satélite,fire_station,Bomberos / proteccion civil,19.5068328,-99.2207402,"police,fire_station,hospital",google_routes,ok,12449.0,1858.0,30.966666666666665,1630.0,228.0,c}`vBjar|QqKeGqMmHQU_KyFLQN_@lA}E^_AlAeCX]vFyJlAyAFKtA}AfA{@b@SzAW~Am@bDiB`@]`P}QVWzQuLdHgGrBqBlK{KdBmBnDqC|HcEfFaDhFoDnMoJ|@{@`EiFvPyShB{AzAaAn@]rAi@xA_@pB[fAEVGtAAhGTNBfoB~H~LhD~@O`@U^c@Nc@fAiHPw@`@yD^iCt@kCpCwS^cBTk@fHwJTa@rBgFf@u@vDaE|@gAfFqIrCwElEkHp@i@w@sAvBkTVKLS@[IUIIn@cGDu@?URgAzIZf@}FZ{DFy@DwAxBeVhAwLvJnAAFlJfBRsB,Av. Aquiles Serdán,2026-06-06T17:38:13+00:00,forced_fire_station_scenario
03103_otros_incidentes_2,03103,Otros incidentes,2,19.3974008,-99.1650676,696,osm_node_331698395,Bomberos Tecamachalco,fire_station,Bomberos / proteccion civil,19.4310478,-99.2266118,"police,fire_station,hospital",google_routes,ok,11983.0,1875.0,31.25,1042.0,833.0,qcruBhes|QeAn@U@mBa@k@QyAi@wDm@UA]DWNQ\mAtCSX_@VWJq@Hg@Cu@a@_@SSGeBK[?YF[RsDxDoA@a@CcKcPgSg\QIKO[_AWmAMwBG_EFk@l@}Ar@{@b@c@H_@nCaCbAu@RUhAq@hIoDvEoBjLcEpDgBtAcApBiBdAkAT_@hEsFNOV[b@oAf@aB`@q@h@e@r@YfA[h@YZWb@m@x@mBzBiDvH}KfAsA|AaBt@sA\q@Za@jNaKfGiEjCwBh@u@Vu@RkAXqBV_Af@mAj@y@t@w@t@g@jCqAp@WfAS|@GlFBlAOhA_@`QwH`AW|@KpACdEVx@FfAJbEX`NbAt@Az@M|@_@f@_@jEqFt@m@z@]|@O`ACr@FHDbALbDPlCRhCHHEzGNn@CHC|AIfAS^QRUT}@Lw@T}HM}IYeFQaBWqB@kAHoBHoCJ_Cf@aUVaKNiAZsA~DuINu@@w@Iq@_@mB?Sg@aCKY}AgHcBeHYaBmBsNWy@@c@]qAM{A?Ka@iDhF|@{@dGYzB@JCLGLVKtF}@f@S`@c@r@uAjDwH,Autop. Urbana Nte.,2026-06-06T17:38:14+00:00,forced_fire_station_scenario
